Height Pressure Rho
1.376376e+04 6.607901e+03 1.310709e-01
1.381381e+04 6.538602e+03 1.298400e-01
1.386386e+04 6.470030e+03 1.286209e-01
1.391391e+04 6.402177e+03 1.274134e-01
1.396396e+04 6.335036e+03 1.262173e-01
1.401401e+04 6.268599e+03 1.250326e-01
1.406406e+04 6.202858e+03 1.238592e-01
1.411411e+04 6.137807e+03 1.226970e-01
1.416416e+04 6.073439e+03 1.215458e-01
1.421421e+04 6.009745e+03 1.204056e-01
1.426426e+04 5.946719e+03 1.192762e-01
1.431431e+04 5.884354e+03 1.181576e-01
1.436436e+04 5.822644e+03 1.170496e-01
1.441441e+04 5.761580e+03 1.159521e-01
1.446446e+04 5.701157e+03 1.148651e-01
1.451451e+04 5.641367e+03 1.137884e-01
1.456456e+04 5.582205e+03 1.127220e-01
1.461461e+04 5.523663e+03 1.116656e-01
1.466466e+04 5.465735e+03 1.106193e-01
1.471471e+04 5.408414e+03 1.095830e-01
1.476476e+04 5.351695e+03 1.085565e-01
1.481481e+04 5.295570e+03 1.075398e-01
1.486486e+04 5.240034e+03 1.065327e-01
1.491491e+04 5.185080e+03 1.055352e-01
1.496496e+04 5.130703e+03 1.045472e-01
1.501502e+04 5.076896e+03 1.035685e-01
1.506507e+04 5.023653e+03 1.025991e-01
1.511512e+04 4.970969e+03 1.016390e-01
1.516517e+04 4.918837e+03 1.006880e-01
1.521522e+04 4.867252e+03 9.974595e-02
1.526527e+04 4.816208e+03 9.881288e-02
1.531532e+04 4.765699e+03 9.788867e-02
1.536537e+04 4.715720e+03 9.697323e-02
1.541542e+04 4.666265e+03 9.606648e-02
1.546547e+04 4.617329e+03 9.516834e-02
1.551552e+04 4.568906e+03 9.427871e-02
1.556557e+04 4.520990e+03 9.339753e-02
1.561562e+04 4.473577e+03 9.252470e-02
1.566567e+04 4.426662e+03 9.166016e-02
1.571572e+04 4.380238e+03 9.080381e-02
1.576577e+04 4.334302e+03 8.995559e-02
1.581582e+04 4.288847e+03 8.911540e-02
1.586587e+04 4.243868e+03 8.828319e-02
1.591592e+04 4.199362e+03 8.745886e-02
1.596597e+04 4.155322e+03 8.664235e-02
1.601602e+04 4.111744e+03 8.583357e-02
1.606607e+04 4.068623e+03 8.503246e-02
1.611612e+04 4.025955e+03 8.423894e-02
1.616617e+04 3.983733e+03 8.345295e-02
1.621622e+04 3.941955e+03 8.267439e-02
1.626627e+04 3.900615e+03 8.190322e-02
1.631632e+04 3.859708e+03 8.113935e-02
1.636637e+04 3.819230e+03 8.038271e-02
1.641642e+04 3.779177e+03 7.963324e-02
1.646647e+04 3.739544e+03 7.889086e-02
1.651652e+04 3.700326e+03 7.815552e-02
1.656657e+04 3.661520e+03 7.742713e-02
1.661662e+04 3.623120e+03 7.670565e-02
1.666667e+04 3.585124e+03 7.599099e-02
1.671672e+04 3.547526e+03 7.528309e-02
1.676677e+04 3.510322e+03 7.458189e-02
1.681682e+04 3.473508e+03 7.388733e-02
1.686687e+04 3.437081e+03 7.319934e-02
1.691692e+04 3.401035e+03 7.251786e-02
1.696697e+04 3.365368e+03 7.184283e-02
1.701702e+04 3.330074e+03 7.117417e-02
1.706707e+04 3.295151e+03 7.051185e-02
1.711712e+04 3.260594e+03 6.985578e-02
1.716717e+04 3.226399e+03 6.920592e-02
1.721722e+04 3.192563e+03 6.856220e-02
1.726727e+04 3.159082e+03 6.792457e-02
1.731732e+04 3.125951e+03 6.729297e-02
1.736737e+04 3.093169e+03 6.666733e-02
1.741742e+04 3.060730e+03 6.604761e-02
1.746747e+04 3.028631e+03 6.543374e-02
1.751752e+04 2.996869e+03 6.482567e-02
1.756757e+04 2.965440e+03 6.422335e-02
1.761762e+04 2.934341e+03 6.362671e-02
1.766767e+04 2.903568e+03 6.303571e-02
1.771772e+04 2.873117e+03 6.245029e-02
1.776777e+04 2.842986e+03 6.187040e-02
1.781782e+04 2.813171e+03 6.129599e-02
1.786787e+04 2.783669e+03 6.072699e-02
1.791792e+04 2.754475e+03 6.016337e-02
1.796797e+04 2.725589e+03 5.960507e-02
1.801802e+04 2.697005e+03 5.905203e-02
1.806807e+04 2.668720e+03 5.850422e-02
1.811812e+04 2.640733e+03 5.796157e-02
1.816817e+04 2.613039e+03 5.742405e-02
1.821822e+04 2.585635e+03 5.689159e-02
1.826827e+04 2.558519e+03 5.636416e-02
1.831832e+04 2.531687e+03 5.584169e-02
1.836837e+04 2.505137e+03 5.532416e-02
1.841842e+04 2.478865e+03 5.481151e-02
1.846847e+04 2.452868e+03 5.430369e-02
1.851852e+04 2.427144e+03 5.380065e-02
1.856857e+04 2.401690e+03 5.330236e-02
1.861862e+04 2.376503e+03 5.280876e-02
1.866867e+04 2.351580e+03 5.231982e-02
1.871872e+04 2.326918e+03 5.183548e-02
1.876877e+04 2.302515e+03 5.135571e-02
1.881882e+04 2.278368e+03 5.088045e-02
1.886887e+04 2.254474e+03 5.040967e-02
1.891892e+04 2.230831e+03 4.994333e-02
1.896897e+04 2.207436e+03 4.948137e-02
1.901902e+04 2.184286e+03 4.902377e-02
1.906907e+04 2.161379e+03 4.857047e-02
1.911912e+04 2.138712e+03 4.812144e-02
1.916917e+04 2.116283e+03 4.767664e-02
1.921922e+04 2.094089e+03 4.723602e-02
1.926927e+04 2.072127e+03 4.679955e-02
1.931932e+04 2.050396e+03 4.636719e-02
1.936937e+04 2.028893e+03 4.593889e-02
1.941942e+04 2.007616e+03 4.551462e-02
1.946947e+04 1.986561e+03 4.509435e-02
1.951952e+04 1.965728e+03 4.467802e-02
1.956957e+04 1.945113e+03 4.426561e-02
1.961962e+04 1.924714e+03 4.385708e-02
1.966967e+04 1.904529e+03 4.345239e-02
1.971972e+04 1.884556e+03 4.305150e-02
1.976977e+04 1.864792e+03 4.265438e-02
1.981982e+04 1.845235e+03 4.226099e-02
1.986987e+04 1.825884e+03 4.187130e-02
1.991992e+04 1.806735e+03 4.148527e-02
1.996997e+04 1.787788e+03 4.110287e-02
2.002002e+04 1.769039e+03 4.071236e-02
2.007007e+04 1.750486e+03 4.030821e-02
2.012012e+04 1.732128e+03 3.990808e-02
2.017017e+04 1.713963e+03 3.951194e-02
2.022022e+04 1.695988e+03 3.911974e-02
2.027027e+04 1.678202e+03 3.873145e-02
2.032032e+04 1.660602e+03 3.834703e-02
2.037037e+04 1.643187e+03 3.796643e-02
2.042042e+04 1.625955e+03 3.758963e-02
2.047047e+04 1.608903e+03 3.721657e-02
2.052052e+04 1.592030e+03 3.684723e-02
2.057057e+04 1.575334e+03 3.648157e-02
2.062062e+04 1.558813e+03 3.611954e-02
2.067067e+04 1.542465e+03 3.576112e-02
2.072072e+04 1.526289e+03 3.540627e-02
2.077077e+04 1.510282e+03 3.505496e-02
2.082082e+04 1.494444e+03 3.470713e-02
2.087087e+04 1.478771e+03 3.436278e-02
2.092092e+04 1.463263e+03 3.402184e-02
2.097097e+04 1.447917e+03 3.368431e-02
2.102102e+04 1.432732e+03 3.335013e-02
2.107107e+04 1.417707e+03 3.301928e-02
2.112112e+04 1.402839e+03 3.269172e-02
2.117117e+04 1.388127e+03 3.236742e-02
2.122122e+04 1.373570e+03 3.204635e-02
2.127127e+04 1.359165e+03 3.172847e-02
2.132132e+04 1.344911e+03 3.141376e-02
2.137137e+04 1.330806e+03 3.110218e-02
2.142142e+04 1.316850e+03 3.079370e-02
2.147147e+04 1.303040e+03 3.048829e-02
2.152152e+04 1.289374e+03 3.018592e-02
2.157157e+04 1.275852e+03 2.988656e-02
2.162162e+04 1.262472e+03 2.959017e-02
2.167167e+04 1.249232e+03 2.929674e-02
2.172172e+04 1.236131e+03 2.900622e-02
2.177177e+04 1.223168e+03 2.871860e-02
2.182182e+04 1.210340e+03 2.843384e-02
2.187187e+04 1.197647e+03 2.815191e-02
2.192192e+04 1.185087e+03 2.787278e-02
2.197197e+04 1.172658e+03 2.759643e-02
2.202202e+04 1.160360e+03 2.732283e-02
2.207207e+04 1.148191e+03 2.705195e-02
2.212212e+04 1.136150e+03 2.678377e-02
2.217217e+04 1.124235e+03 2.651825e-02
2.222222e+04 1.112445e+03 2.625538e-02
2.227227e+04 1.100778e+03 2.599512e-02
2.232232e+04 1.089234e+03 2.573745e-02
2.237237e+04 1.077811e+03 2.548234e-02
2.242242e+04 1.066508e+03 2.522977e-02
2.247247e+04 1.055323e+03 2.497971e-02
2.252252e+04 1.044256e+03 2.473213e-02
2.257257e+04 1.033304e+03 2.448702e-02
2.262262e+04 1.022468e+03 2.424435e-02
2.267267e+04 1.011745e+03 2.400409e-02
2.272272e+04 1.001134e+03 2.376622e-02
2.277277e+04 9.906352e+02 2.353071e-02
2.282282e+04 9.802461e+02 2.329754e-02
2.287287e+04 9.699660e+02 2.306670e-02
2.292292e+04 9.597938e+02 2.283815e-02
2.297297e+04 9.497282e+02 2.261187e-02
2.302302e+04 9.397681e+02 2.238784e-02
2.307307e+04 9.299125e+02 2.216604e-02
2.312312e+04 9.201603e+02 2.194644e-02
2.317317e+04 9.105103e+02 2.172902e-02
2.322322e+04 9.009616e+02 2.151377e-02
2.327327e+04 8.915129e+02 2.130066e-02
2.332332e+04 8.821634e+02 2.108966e-02
2.337337e+04 8.729119e+02 2.088077e-02
2.342342e+04 8.637575e+02 2.067394e-02
2.347347e+04 8.546990e+02 2.046918e-02
2.352352e+04 8.457356e+02 2.026645e-02
2.357357e+04 8.368661e+02 2.006573e-02
2.362362e+04 8.280897e+02 1.986701e-02
2.367367e+04 8.194053e+02 1.967027e-02
2.372372e+04 8.108120e+02 1.947547e-02
2.377377e+04 8.023088e+02 1.928262e-02
2.382382e+04 7.938948e+02 1.909168e-02
2.387387e+04 7.855690e+02 1.890264e-02
2.392392e+04 7.773305e+02 1.871548e-02
2.397397e+04 7.691785e+02 1.853017e-02
2.402402e+04 7.611119e+02 1.834671e-02
2.407407e+04 7.531299e+02 1.816507e-02
2.412412e+04 7.452316e+02 1.798524e-02
2.417417e+04 7.374162e+02 1.780719e-02
2.422422e+04 7.296827e+02 1.763091e-02
2.427427e+04 7.220304e+02 1.745638e-02
2.432432e+04 7.144582e+02 1.728359e-02
2.437437e+04 7.069655e+02 1.711251e-02
2.442442e+04 6.995514e+02 1.694313e-02
2.447447e+04 6.922150e+02 1.677543e-02
2.452452e+04 6.849556e+02 1.660940e-02
2.457457e+04 6.777723e+02 1.644502e-02
2.462462e+04 6.706643e+02 1.628227e-02
2.467467e+04 6.636309e+02 1.612114e-02
2.472472e+04 6.566712e+02 1.596161e-02
2.477477e+04 6.497845e+02 1.580366e-02
2.482482e+04 6.429701e+02 1.564728e-02
2.487487e+04 6.362271e+02 1.549246e-02
2.492492e+04 6.295548e+02 1.533917e-02
2.497497e+04 6.229525e+02 1.518740e-02
2.502503e+04 6.164194e+02 1.503714e-02
2.507508e+04 6.099549e+02 1.488837e-02
2.512513e+04 6.035581e+02 1.474108e-02
2.517518e+04 5.972284e+02 1.459526e-02
2.522523e+04 5.909651e+02 1.445088e-02
2.527528e+04 5.847675e+02 1.430793e-02
2.532533e+04 5.786349e+02 1.416640e-02
2.537538e+04 5.725666e+02 1.402628e-02
2.542543e+04 5.665620e+02 1.388755e-02
2.547548e+04 5.606203e+02 1.375019e-02
2.552553e+04 5.547409e+02 1.361420e-02
2.557558e+04 5.489232e+02 1.347956e-02
2.562563e+04 5.431665e+02 1.334626e-02
2.567568e+04 5.374702e+02 1.321428e-02
2.572573e+04 5.318336e+02 1.308360e-02
2.577578e+04 5.262561e+02 1.295423e-02
2.582583e+04 5.207371e+02 1.282614e-02
2.587588e+04 5.152760e+02 1.269932e-02
2.592593e+04 5.098722e+02 1.257376e-02
2.597598e+04 5.045250e+02 1.244944e-02
2.602603e+04 4.992339e+02 1.232636e-02
2.607608e+04 4.939984e+02 1.220450e-02
2.612613e+04 4.888177e+02 1.208385e-02
2.617618e+04 4.836913e+02 1.196440e-02
2.622623e+04 4.786187e+02 1.184613e-02
2.627628e+04 4.735993e+02 1.172903e-02
2.632633e+04 4.686326e+02 1.161310e-02
2.637638e+04 4.637179e+02 1.149832e-02
2.642643e+04 4.588547e+02 1.138467e-02
2.647648e+04 4.540426e+02 1.127216e-02
2.652653e+04 4.492810e+02 1.116076e-02
2.657658e+04 4.445692e+02 1.105046e-02
2.662663e+04 4.399069e+02 1.094126e-02
2.667668e+04 4.352935e+02 1.083314e-02
2.672673e+04 4.307285e+02 1.072610e-02
2.677678e+04 4.262113e+02 1.062011e-02
2.682683e+04 4.217415e+02 1.051518e-02
2.687688e+04 4.173186e+02 1.041129e-02
2.692693e+04 4.129421e+02 1.030842e-02
2.697698e+04 4.086114e+02 1.020658e-02
2.702703e+04 4.043262e+02 1.010575e-02
2.707708e+04 4.000860e+02 1.000592e-02
2.712713e+04 3.958901e+02 9.907076e-03
2.717718e+04 3.917383e+02 9.809214e-03
2.722723e+04 3.876301e+02 9.712323e-03
2.727728e+04 3.835649e+02 9.616392e-03
2.732733e+04 3.795424e+02 9.521412e-03
2.737738e+04 3.755620e+02 9.427374e-03
2.742743e+04 3.716234e+02 9.334269e-03
2.747748e+04 3.677261e+02 9.242086e-03
2.752753e+04 3.638696e+02 9.150817e-03
2.757758e+04 3.600536e+02 9.060454e-03
2.762763e+04 3.562777e+02 8.970985e-03
2.767768e+04 3.525413e+02 8.882404e-03
2.772773e+04 3.488441e+02 8.794701e-03
2.777778e+04 3.451857e+02 8.707867e-03
2.782783e+04 3.415656e+02 8.621893e-03
2.787788e+04 3.379835e+02 8.536772e-03
2.792793e+04 3.344390e+02 8.452495e-03
2.797798e+04 3.309317e+02 8.369052e-03
2.802803e+04 3.274611e+02 8.286437e-03
2.807808e+04 3.240269e+02 8.204640e-03
2.812813e+04 3.206288e+02 8.123654e-03
2.817818e+04 3.172663e+02 8.043471e-03
2.822823e+04 3.139390e+02 7.964082e-03
2.827828e+04 3.106466e+02 7.885479e-03
2.832833e+04 3.073888e+02 7.807656e-03
2.837838e+04 3.041651e+02 7.730603e-03
2.842843e+04 3.009753e+02 7.654314e-03
2.847848e+04 2.978189e+02 7.578781e-03
2.852853e+04 2.946956e+02 7.503996e-03
2.857858e+04 2.916050e+02 7.429952e-03
2.862863e+04 2.885469e+02 7.356641e-03
2.867868e+04 2.855208e+02 7.284057e-03
2.872873e+04 2.825265e+02 7.212192e-03
2.877878e+04 2.795636e+02 7.141038e-03
2.882883e+04 2.766317e+02 7.070589e-03
2.887888e+04 2.737306e+02 7.000838e-03
2.892893e+04 2.708599e+02 6.931778e-03
2.897898e+04 2.680193e+02 6.863402e-03
